Tokyo;-85.4;-80.7;-85.1
Jakarta;-10.0;25.1;14.1
Delhi;24.3;95.7;70.8
Guangzhou;-3.7;25.5;2.4
Mumbai;37.8;37.8;37.8
Manila;-30.7;58.4;37.6
Shanghai;-18.3;90.0;-13.1
Sao Paulo;-48.5;-11.6;-17.5
Seoul;34.8;71.4;65.5
Mexico City;9.1;60.9;39.7
Cairo;-79.1;90.6;36.7
New York;-75.3;86.1;-9.5
Dhaka;-31.8;-4.3;-10.3
Beijing;-61.7;63.6;-58.6
Kolkata;-80.3;-68.3;-79.1
Bangkok;39.7;53.4;51.2
Shenzhen;-94.2;17.3;-70.6
Moscow;-87.1;62.0;-51.4
Buenos Aires;-87.5;97.0;-33.5
Lagos;40.5;88.7;50.9
Istanbul;20.9;83.9;39.8
Karachi;0.1;57.3;0.2
Bangalore;-7.3;3.2;-2.3
Ho Chi Minh City;-90.9;-28.0;-68.6
Osaka;-30.7;86.5;52.8
Chengdu;-63.6;10.2;-8.5
Tehran;-10.9;54.2;11.7
Kinshasa;22.8;65.9;54.8
Rio de Janeiro;-94.4;-88.2;-88.8
Chennai;-67.9;-3.5;-15.5
Xi'an;-28.3;41.8;17.8
Lahore;-57.7;-44.4;-49.1
Chongqing;-10.5;38.5;10.2
Los Angeles;-97.2;94.8;86.4
Baoding;-93.2;-46.4;-82.2
London;-89.6;28.3;-10.7
Paris;-79.9;-27.3;-58.5
Linyi;-34.7;73.2;-23.1
Dongguan;4.8;36.8;24.0
Hyderabad;67.4;83.1;68.4
Tianjin;27.9;62.6;53.7
Lima;-56.6;-1.0;-29.1
Wuhan;-19.5;-14.7;-16.8
Nanyang;-23.3;18.5;6.8
Hangzhou;-71.0;-53.3;-61.1
Foshan;-71.0;88.2;84.0
Nagoya;9.7;54.3;14.3
Taipei;17.1;95.9;87.8
Tongshan;-80.1;-33.7;-60.1
Luanda;-60.9;32.2;27.2
Zhoukou;-16.9;-4.3;-6.9
Ganzhou;-41.0;29.4;20.9
Kuala Lumpur;-79.2;-23.6;-43.6
Heze;-63.1;-32.1;-36.0
Quanzhou;-21.6;10.4;-18.6
Chicago;-70.1;-6.3;-27.3
Nanjing;-31.1;33.7;-28.5
Jining;42.1;84.1;49.2
Hanoi;-62.6;-40.0;-54.9
Pune;-45.0;-32.1;-32.9
Fuyang;-89.3;7.2;-76.4
Ahmedabad;-48.3;-41.9;-46.1
Johannesburg;19.2;28.7;27.4
Bogota;2.7;27.8;26.4
Dar es Salaam;-89.8;19.4;-29.0
Shenyang;-5.8;17.0;6.0
Khartoum;-25.9;8.9;6.2
Shangqiu;67.5;82.6;69.2
Cangzhou;35.3;94.7;39.9
Hong Kong;-55.5;-8.3;-18.2
Shaoyang;45.1;97.2;81.5
Zhanjiang;-79.9;5.6;-60.1
Yancheng;-83.9;65.4;-67.6
Hengyang;-11.2;-5.5;-6.4
Riyadh;-72.6;18.9;-30.2
Zhumadian;-19.5;83.1;75.6
Santiago;-95.4;-26.3;-86.7
Xingtai;-93.8;-80.7;-93.0
Chattogram;-96.2;-34.7;-50.8
Bijie;-24.9;45.0;-9.2
Shangrao;-48.7;81.7;26.9
Zunyi;-67.0;69.2;33.4
Surat;51.5;64.8;57.1
Surabaya;-76.7;43.6;-62.9
Huanggang;-78.4;57.3;13.2
